0,Perk Name,Cost,Description
1,Builder's Might,1000 CP,"You have access to powers inspired by a player character from the Minecraft game. You have an inventory, can craft and gather resources with incredible speed and efficiency, and are capable of imbuing built structures with the ability to defy gravity (until they are disturbed too much). You also have enhanced physical capabilities and faster healing without scars, at the cost of increased hunger while healing or performing above human limitations. You can even respawn after death once every 24 hours in your last place of sleep, if its still intact, accessible and your soul is intact."
2,Crating Book,100 CP,"You have access to a mental compendium containing blueprints for all craftable items from the Minecraft game. It doesn't grant you skill or knowledge of the intricate inner workings of what you build, nor does it include variations of the same blueprint - just a list of specific items you know how to craft. It provides step-by-step instructions, images, and parameters to keep in mind. It doesn't give you skill or ability to use your creations, nor does it grant access to brewing, enchanting, or other supernatural capabilities. You know the specific recipes, but you lack magic and skill."
3,Vanilla Brewing,200 CP,"This perk gives you the ability to use magic for Minecraft-style brewing, along with talent in this craft and scholarly intuition - covering the general theory behind the process and how to actually apply potions in correct or unusual ways. It doesn't provide you with specific recipes but allows you to explore, test brews, and tweak existing blueprints in your possession beyond what the original game lets players do. You need this to use brewing stand effectively."
4,Vanilla  Enchanting ,300 CP,"This perk gives you the ability to use magic for Minecraft-style enchantment art, along with talent in this craft and scholarly intuition - covering the general theory behind the process and how to actually apply enchanted items in correct or unusual ways. It doesn't provide you with specific recipes but allows you to explore, test, and apply enchantments to different items, and to tweak existing blueprints in your possession beyond what the original game permits. You need this perk to use the enchanting table effectively."
5,Jack of Basic Trades,50 CP,"You have basic skills and knowledge in many areas: farming, animal rearing, riding, mining, map-making, fishing, etc. Whatever the player can do in the game, you can also do on a basic level. For example, it won't be too hard for you to chop down a tree, build a simple hut, or hunt down some wild animals. However, you are still an amateur in all these areas. Still better than having nothing."
6,Villager Trades ,100 CP,"You gain an average level of skill in haggling and primitive commerce. Additionally, when you roll this perk, you gain average skill and knowledge in any one villager profession of your choice. You can pay an additional 100 CP or wait for this perk being rolled again to acquire more areas of expertise until you have them all. The list of villager professions includes: Armorer, Butcher, Cartographer, Cleric, Farmer, Fisherman, Fletcher, Leatherworker, Librarian, Mason, Shepherd, Toolsmith, and Weaponsmith."
7,Structural Know-how,150 CP,You are a skillful architect and builder. You have expertise in building all Minecraft structures that generate naturally in the game and have blueprints of them. You can use your skills to design your own projects and bring them into reality as a professional builder. 
8,Gate Making,600 CP,"You have the skills, theoretical knowledge, and actual capability to build functional portals into the Nether and the End, even if the world you are currently in cannot usually access these dimensions. However, you cannot build any custom variations of portals."
9,Technically Infinite Dimensions,600 CP,"This perk gives you the ability to modify existing Nether portals to access variety of random dimensions from the April Fools Minecraft snapshot 20w14∞. You don't know what awaits you on the other side before checking things out. It can be good, it can be bad, but mostly weird, random, and chaotic. The beauty of wild magic!"
10,Vanilla Golems,250 CP,"You have a supernatural ability, theoretical background knowledge and actual skill at building golems. Although, you only have blueprints for types present in the game. They listen to your orders and are generally aligned with you, although they are not very smart beyond their primary function and can be tricked easily. If they don't have any orders - they just follow their basic innate programming or become idle."
